Function	ORF	Gene/Allele	Interactor (std)
Cytokinesis	YHR107C	cdc12-1	CDC12
Cytokinesis	YJR076C	cdc11-1	CDC11
Cytokinesis	YLR314C	cdc3-3	CDC3
Cytokinesis	YJR076C	cdc11-3	CDC11
Cytokinesis	YJR076C	cdc11-2	CDC11
Cytokinesis	YCR002C	cdc10-2	CDC10
Cytokinesis	YHR107C	cdc12-td	CDC12
Cytokinesis	YIL141W	yil141w	YIL141W
Nuclear-cytoplasmic transport	YGL092W	nup145-r4	NUP145
Nuclear-cytoplasmic transport	YLR347C	kap95-e126k	KAP95
Nuclear-cytoplasmic transport	YLR293C	gsp1-p162l	GSP1
Nuclear-cytoplasmic transport	YNL140C	ynl140c	YNL140C
Nuclear-cytoplasmic transport	YHR167W	thp2	THP2
Nuclear-cytoplasmic transport	YJL039C	nup192-15	NUP192
Nuclear-cytoplasmic transport	YLR018C	pom34	POM34
Nuclear-cytoplasmic transport	YHR036W	brl1-3231	BRL1
Nuclear-cytoplasmic transport	YLR335W	nup2	NUP2
Nuclear-cytoplasmic transport	YDL088C	asm4	ASM4
Nuclear-cytoplasmic transport	YDR002W	yrb1-51	YRB1
Nuclear-cytoplasmic transport	YAR002W	nup60	NUP60
Nuclear-cytoplasmic transport	YKR082W	nup133	NUP133
Nuclear-cytoplasmic transport	YHR036W	brl1-k405i	BRL1
Nuclear-cytoplasmic transport	YMR153C-A	ymr153c-a	YMR153C-A
Nuclear-cytoplasmic transport	YHR036W	brl1-c371s	BRL1
Nuclear-cytoplasmic transport	YML103C	nup188	NUP188
Nuclear-cytoplasmic transport	YIL115C	nup159-1	NUP159
Nuclear-cytoplasmic transport	YMR235C	rna1-s116f	RNA1
Nuclear-cytoplasmic transport	YJR042W	nup85-5001	NUP85
Nuclear-cytoplasmic transport	YMR153W	nup53	NUP53
Nuclear-cytoplasmic transport	YKL069W	ykl069w	YKL069W
Nuclear-cytoplasmic transport	YGL238W	cse1-5002	CSE1
Nuclear-cytoplasmic transport	YER105C	nup157	NUP157
Nuclear-cytoplasmic transport	YMR129W	pom152	POM152
Nuclear-cytoplasmic transport	YER009W	ntf2-h104y	NTF2
Nuclear-cytoplasmic transport	YDR192C	nup42	NUP42
Nuclear-cytoplasmic transport	YGR119C	nup57-e17	NUP57
Nuclear-cytoplasmic transport	YJR074W	mog1	MOG1
Nuclear-cytoplasmic transport	YOR046C	dbp5-1	DBP5
Nuclear-cytoplasmic transport	YGR081C	slx9	SLX9
Nuclear-cytoplasmic transport	YBL079W	nup170	NUP170
Nuclear-cytoplasmic transport	YER107C	gle2	GLE2
Nuclear-cytoplasmic transport	YER009W	ntf2-5001	NTF2
Nuclear-cytoplasmic transport	YDL084W	sub2-1	SUB2
Nuclear-cytoplasmic transport	YGL097W	srm1-ts	SRM1
Nuclear-cytoplasmic transport	YJL061W	nup82-5004	NUP82
Nuclear-cytoplasmic transport	YDR159W	sac3	SAC3
Nuclear-cytoplasmic transport	YER165W	pab1-5002	PAB1
MVB sorting and pH depending signaling	YMR154C	rim13	RIM13
MVB sorting and pH depending signaling	YMR063W	rim9	RIM9
MVB sorting and pH depending signaling	YGL045W	rim8	RIM8
MVB sorting and pH depending signaling	YOR275C	rim20	RIM20
MVB sorting and pH depending signaling	YPL065W	vps28	VPS28
MVB sorting and pH depending signaling	YCL008C	stp22	STP22
MVB sorting and pH depending signaling	YLR119W	srn2	SRN2
MVB sorting and pH depending signaling	YLR396C	vps33	VPS33
MVB sorting and pH depending signaling	YOR030W	dfg16	DFG16
MVB sorting and pH depending signaling	YNL294C	rim21	RIM21
MVB sorting and pH depending signaling	YKL002W	did4	DID4
MVB sorting and pH depending signaling	YHL027W	rim101	RIM101
MVB sorting and pH depending signaling	YMR077C	vps20	VPS20
MVB sorting and pH depending signaling	YPR173C	vps4	VPS4
MVB sorting and pH depending signaling	YNR006W	vps27	VPS27
MVB sorting and pH depending signaling	YKL041W	vps24	VPS24
MVB sorting and pH depending signaling	YJR102C	vps25	VPS25
MVB sorting and pH depending signaling	YLR417W	vps36	VPS36
MVB sorting and pH depending signaling	YGR122W	ygr122w	YGR122W
MVB sorting and pH depending signaling	YPL045W	vps16	VPS16
MVB sorting and pH depending signaling	YDR495C	vps3	VPS3
mRNA & tRNA processing	YML046W	prp39-1	PRP39
mRNA & tRNA processing	YMR268C	prp24-ts	PRP24
mRNA & tRNA processing	YLR117C	clf1-1	CLF1
mRNA & tRNA processing	YPR094W	rds3-1	RDS3
mRNA & tRNA processing	YFR005C	sad1-1	SAD1
mRNA & tRNA processing	YLR298C	yhc1-1	YHC1
mRNA & tRNA processing	YBR064W	ybr064w	YBR064W
mRNA & tRNA processing	YHR086W	nam8	NAM8
mRNA & tRNA processing	YOR308C	snu66	SNU66
mRNA & tRNA processing	YDL087C	luc7-1	LUC7
mRNA & tRNA processing	YDR473C	prp3-1	PRP3
mRNA & tRNA processing	YDL030W	prp9-1	PRP9
mRNA & tRNA processing	YPR178W	prp4-ts	PRP4
mRNA & tRNA processing	YDR243C	prp28-101	PRP28
mRNA & tRNA processing	YKL173W	snu114-40	SNU114
mRNA & tRNA processing	YIR005W	ist3	IST3
mRNA & tRNA processing	YGL174W	bud13	BUD13
mRNA & tRNA processing	YBR237W	prp5-1	PRP5
mRNA & tRNA processing	YKL074C	mud2	MUD2
mRNA & tRNA processing	YNL147W	lsm7	LSM7
mRNA & tRNA processing	YDR482C	cwc21	CWC21
mRNA & tRNA processing	YJL203W	prp21-ts	PRP21
mRNA & tRNA processing	YBL074C	aar2-5001	AAR2
mRNA & tRNA processing	YKL173W	snu114-60	SNU114
mRNA & tRNA processing	YBL026W	lsm2-5001	LSM2
mRNA & tRNA processing	YML049C	rse1-1	RSE1
mRNA & tRNA processing	YBR188C	ntc20	NTC20
mRNA & tRNA processing	YGL120C	prp43-ts2	PRP43
mRNA & tRNA processing	YLR298C	yhc1-8	YHC1
mRNA & tRNA processing	YLR016C	pml1	PML1
mRNA & tRNA processing	YPR057W	brr1	BRR1
mRNA & tRNA processing	YDL043C	prp11-ts	PRP11
mRNA & tRNA processing	YMR213W	cef1-13	CEF1
mRNA & tRNA processing	YDR378C	lsm6	LSM6
mRNA & tRNA processing	YGR013W	snu71-5001	SNU71
mRNA & tRNA processing	YBR119W	mud1	MUD1
mRNA & tRNA processing	YDR416W	syf1-5001	SYF1
mRNA & tRNA processing	YGR129W	syf2	SYF2
mRNA & tRNA processing	YJR050W	isy1	ISY1
mRNA & tRNA processing	YNR004W	swm2	SWM2
mRNA & tRNA processing	YGR006W	prp18-ts	PRP18
mRNA & tRNA processing	YPL178W	cbc2	CBC2
mRNA & tRNA processing	YGR091W	prp31-ts	PRP31
mRNA & tRNA processing	YDR240C	snu56-5001	SNU56
mRNA & tRNA processing	YDL098C	snu23-5001	SNU23
mRNA & tRNA processing	YNR011C	prp2-1	PRP2
mRNA & tRNA processing	YNR032C-A	hub1	HUB1
mRNA & tRNA processing	YGR006W	prp18-1202	PRP18
mRNA & tRNA processing	YGR075C	prp38-1	PRP38
mRNA & tRNA processing	YDR235W	prp42-5001	PRP42
mRNA & tRNA processing	YHR156C	lin1	LIN1
mRNA & tRNA processing	YBR055C	prp6-1	PRP6
mRNA & tRNA processing	YPR101W	snt309	SNT309
mRNA & tRNA processing	YER013W	prp22-1	PRP22
mRNA & tRNA processing	YLR323C	cwc24-5004	CWC24
mRNA & tRNA processing	YPR152C	urn1	URN1
mRNA & tRNA processing	YLR298C	yhc1-2	YHC1
mRNA & tRNA processing	YDR088C	slu7-ts1	SLU7
mRNA & tRNA processing	YMR240C	cus1-3	CUS1
mRNA & tRNA processing	YKR086W	prp16-2	PRP16
mRNA & tRNA processing	YKL095W	yju2-5001	YJU2
mRNA & tRNA processing	YBR152W	spp381-5001	SPP381
mRNA & tRNA processing	YPL151C	prp46-5001	PRP46
mRNA & tRNA processing	YLR116W	msl5-5001	MSL5
mRNA & tRNA processing	YLR323C	cwc24-5018	CWC24
mRNA & tRNA processing	YGR091W	prp31-1	PRP31
mRNA & tRNA processing	YDR088C	slu7-ts2	SLU7
mRNA & tRNA processing	YPL213W	lea1	LEA1
mRNA & tRNA processing	YHR062C	rpp1-5003	RPP1
mRNA & tRNA processing	YPL157W	tgs1	TGS1
mRNA & tRNA processing	YBR055C	prp6-ts	PRP6
mRNA & tRNA processing	YDL051W	lhp1	LHP1
mRNA & tRNA processing	YLR116W	msl5-9	MSL5
mRNA & tRNA processing	YGR278W	cwc22-5001	CWC22
mRNA & tRNA processing	YPR178W	prp4-1	PRP4
mRNA & tRNA processing	YPL064C	cwc27	CWC27
mRNA & tRNA processing	YDL050C	ydl050c	YDL050C
mRNA & tRNA processing	YGR047C	tfc4-5001	TFC4
mRNA & tRNA processing	YJL011C	rpc17-5001	RPC17
mRNA & tRNA processing	YBR167C	pop7-5001	POP7
mRNA & tRNA processing	YPR190C	rpc82-5001	RPC82
mRNA & tRNA processing	YNR003C	rpc34-1	RPC34
mRNA & tRNA processing	YDR045C	rpc11-5001	RPC11
mRNA & tRNA processing	YDL150W	rpc53-5001	RPC53
mRNA & tRNA processing	YBR123C	tfc1-e447k	TFC1
mRNA & tRNA processing	YOR116C	rpo31-698	RPO31
mRNA & tRNA processing	YPL007C	tfc8-5001	TFC8
mRNA & tRNA processing	YGL245W	gus1-5001	GUS1
mRNA & tRNA processing	YHR157W	rec104	REC104
mRNA & tRNA processing	YOR224C	rpb8-5001	RPB8
mRNA & tRNA processing	YOR341W	rpa190-1	RPA190
mRNA & tRNA processing	YPL164C	mlh3	MLH3
mRNA & tRNA processing	YLR259C	hsp60-5005	HSP60
mRNA & tRNA processing	YDR450W	rps18a	RPS18A
mRNA & tRNA processing	YDL060W	tsr1-5004	TSR1
mRNA & tRNA processing	YGR276C	rnh70	RNH70
tRNA wobble modification	YOR251C	tum1	TUM1
tRNA wobble modification	YLR384C	iki3	IKI3
tRNA wobble modification	YHR111W	uba4	UBA4
tRNA wobble modification	YPL102C	ypl102c	YPL102C
tRNA wobble modification	YPL101W	elp4	ELP4
tRNA wobble modification	YNL119W	ncs2	NCS2
tRNA wobble modification	YIL008W	urm1	URM1
tRNA wobble modification	YMR312W	elp6	ELP6
tRNA wobble modification	YPL086C	elp3	ELP3
tRNA wobble modification	YGR200C	elp2	ELP2
tRNA wobble modification	YKL110C	kti12	KTI12
tRNA wobble modification	YGL211W	ncs6	NCS6
tRNA wobble modification	YNL120C	ynl120c	YNL120C
tRNA wobble modification	YAL020C	ats1	ATS1
